,rm,lstat,indus,ptratio,medv
152,5.012,12.12,19.58,14.7,15.3
153,5.709,15.79,19.58,14.7,19.4
154,6.129,15.12,19.58,14.7,17.0
155,6.152,15.02,19.58,14.7,15.6
156,5.272,16.14,19.58,14.7,13.1
157,6.943,4.59,19.58,14.7,41.3
158,6.066,6.43,19.58,14.7,24.3
159,6.51,7.39,19.58,14.7,23.3
160,6.25,5.5,19.58,14.7,27.0
161,7.489,1.73,19.58,14.7,50.0
162,7.802,1.92,19.58,14.7,50.0
163,8.375,3.32,19.58,14.7,50.0
164,5.854,11.64,19.58,14.7,22.7
165,6.101,9.81,19.58,14.7,25.0
166,7.929,3.7,19.58,14.7,50.0
167,5.877,12.14,19.58,14.7,23.8
168,6.319,11.1,19.58,14.7,23.8
169,6.402,11.32,19.58,14.7,22.3
170,5.875,14.43,19.58,14.7,17.4
171,5.88,12.03,19.58,14.7,19.1
172,5.572,14.69,4.05,16.6,23.1
173,6.416,9.04,4.05,16.6,23.6
174,5.859,9.64,4.05,16.6,22.6
175,6.546,5.33,4.05,16.6,29.4
176,6.02,10.11,4.05,16.6,23.2
177,6.315,6.29,4.05,16.6,24.6
178,6.86,6.92,4.05,16.6,29.9
179,6.98,5.04,2.46,17.8,37.2
180,7.765,7.56,2.46,17.8,39.8
181,6.144,9.45,2.46,17.8,36.2
182,7.155,4.82,2.46,17.8,37.9
183,6.563,5.68,2.46,17.8,32.5
184,5.604,13.98,2.46,17.8,26.4
185,6.153,13.15,2.46,17.8,29.6
186,7.831,4.45,2.46,17.8,50.0
187,6.782,6.68,3.44,15.2,32.0
188,6.556,4.56,3.44,15.2,29.8
189,7.185,5.39,3.44,15.2,34.9
190,6.951,5.1,3.44,15.2,37.0
191,6.739,4.69,3.44,15.2,30.5
192,7.178,2.87,3.44,15.2,36.4
193,6.8,5.03,2.93,15.6,31.1
194,6.604,4.38,2.93,15.6,29.1
195,7.875,2.97,0.46,14.4,50.0
196,7.287,4.08,1.52,12.6,33.3
197,7.107,8.61,1.52,12.6,30.3
198,7.274,6.62,1.52,12.6,34.6
199,6.975,4.56,1.47,17.0,34.9
200,7.135,4.45,1.47,17.0,32.9
201,6.162,7.43,2.03,14.7,24.1
202,7.61,3.11,2.03,14.7,42.3
203,7.853,3.81,2.68,14.7,48.5
204,8.034,2.88,2.68,14.7,50.0
205,5.891,10.87,10.59,18.6,22.6
206,6.326,10.97,10.59,18.6,24.4
207,5.783,18.06,10.59,18.6,22.5
208,6.064,14.66,10.59,18.6,24.4
209,5.344,23.09,10.59,18.6,20.0
210,5.96,17.27,10.59,18.6,21.7
211,5.404,23.98,10.59,18.6,19.3
212,5.807,16.03,10.59,18.6,22.4
213,6.375,9.38,10.59,18.6,28.1
214,5.412,29.55,10.59,18.6,23.7
215,6.182,9.47,10.59,18.6,25.0
216,5.888,13.51,13.89,16.4,23.3
217,6.642,9.69,13.89,16.4,28.7
218,5.951,17.92,13.89,16.4,21.5
219,6.373,10.5,13.89,16.4,23.0
220,6.951,9.71,6.2,17.4,26.7
221,6.164,21.46,6.2,17.4,21.7
222,6.879,9.93,6.2,17.4,27.5
223,6.618,7.6,6.2,17.4,30.1
224,8.266,4.14,6.2,17.4,44.8
225,8.725,4.63,6.2,17.4,50.0
226,8.04,3.13,6.2,17.4,37.6
227,7.163,6.36,6.2,17.4,31.6
228,7.686,3.92,6.2,17.4,46.7
229,6.552,3.76,6.2,17.4,31.5
230,5.981,11.65,6.2,17.4,24.3
231,7.412,5.25,6.2,17.4,31.7
232,8.337,2.47,6.2,17.4,41.7
233,8.247,3.95,6.2,17.4,48.3
234,6.726,8.05,6.2,17.4,29.0
235,6.086,10.88,6.2,17.4,24.0
236,6.631,9.54,6.2,17.4,25.1
237,7.358,4.73,6.2,17.4,31.5
238,6.481,6.36,4.93,16.6,23.7
239,6.606,7.37,4.93,16.6,23.3
240,6.897,11.38,4.93,16.6,22.0
241,6.095,12.4,4.93,16.6,20.1
242,6.358,11.22,4.93,16.6,22.2
243,6.393,5.19,4.93,16.6,23.7
244,5.593,12.5,5.86,19.1,17.6
245,5.605,18.46,5.86,19.1,18.5
246,6.108,9.16,5.86,19.1,24.3
247,6.226,10.15,5.86,19.1,20.5
248,6.433,9.52,5.86,19.1,24.5
249,6.718,6.56,5.86,19.1,26.2
250,6.487,5.9,5.86,19.1,24.4
251,6.438,3.59,5.86,19.1,24.8
252,6.957,3.53,5.86,19.1,29.6
253,8.259,3.54,5.86,19.1,42.8
254,6.108,6.57,3.64,16.4,21.9
255,5.876,9.25,3.64,16.4,20.9
256,7.454,3.11,3.75,15.9,44.0
257,8.704,5.12,3.97,13.0,50.0
258,7.333,7.79,3.97,13.0,36.0
259,6.842,6.9,3.97,13.0,30.1
260,7.203,9.59,3.97,13.0,33.8
261,7.52,7.26,3.97,13.0,43.1
262,8.398,5.91,3.97,13.0,48.8
263,7.327,11.25,3.97,13.0,31.0
264,7.206,8.1,3.97,13.0,36.5
265,5.56,10.45,3.97,13.0,22.8
266,7.014,14.79,3.97,13.0,30.7
267,8.297,7.44,3.97,13.0,50.0
268,7.47,3.16,3.97,13.0,43.5
269,5.92,13.65,6.96,18.6,20.7
270,5.856,13.0,6.96,18.6,21.1
271,6.24,6.59,6.96,18.6,25.2
272,6.538,7.73,6.96,18.6,24.4
273,7.691,6.58,6.96,18.6,35.2
274,6.758,3.53,6.41,17.6,32.4
275,6.854,2.98,6.41,17.6,32.0
276,7.267,6.05,6.41,17.6,33.2
277,6.826,4.16,6.41,17.6,33.1
278,6.482,7.19,6.41,17.6,29.1
279,6.812,4.85,3.33,14.9,35.1
280,7.82,3.76,3.33,14.9,45.4
281,6.968,4.59,3.33,14.9,35.4
282,7.645,3.01,3.33,14.9,46.0
283,7.923,3.16,1.21,13.6,50.0
284,7.088,7.85,2.97,15.3,32.2
285,6.453,8.23,2.25,15.3,22.0
286,6.23,12.93,1.76,18.2,20.1
287,6.209,7.14,5.32,16.6,23.2
288,6.315,7.6,5.32,16.6,22.3
289,6.565,9.51,5.32,16.6,24.8
290,6.861,3.33,4.95,19.2,28.5
291,7.148,3.56,4.95,19.2,37.3
292,6.63,4.7,4.95,19.2,27.9
293,6.127,8.58,13.92,16.0,23.9
294,6.009,10.4,13.92,16.0,21.7
295,6.678,6.27,13.92,16.0,28.6
296,6.549,7.39,13.92,16.0,27.1
297,5.79,15.84,13.92,16.0,20.3
298,6.345,4.97,2.24,14.8,22.5
299,7.041,4.74,2.24,14.8,29.0
300,6.871,6.07,2.24,14.8,24.8
301,6.59,9.5,6.09,16.1,22.0
302,6.495,8.67,6.09,16.1,26.4
303,6.982,4.86,6.09,16.1,33.1
304,7.236,6.93,2.18,18.4,36.1
305,6.616,8.93,2.18,18.4,28.4
306,7.42,6.47,2.18,18.4,33.4
307,6.849,7.53,2.18,18.4,28.2
308,6.635,4.54,9.9,18.4,22.8
309,5.972,9.97,9.9,18.4,20.3
310,4.973,12.64,9.9,18.4,16.1
311,6.122,5.98,9.9,18.4,22.1
312,6.023,11.72,9.9,18.4,19.4
313,6.266,7.9,9.9,18.4,21.6
314,6.567,9.28,9.9,18.4,23.8
315,5.705,11.5,9.9,18.4,16.2
316,5.914,18.33,9.9,18.4,17.8
317,5.782,15.94,9.9,18.4,19.8
318,6.382,10.36,9.9,18.4,23.1
319,6.113,12.73,9.9,18.4,21.0
320,6.426,7.2,7.38,19.6,23.8
321,6.376,6.87,7.38,19.6,23.1
322,6.041,7.7,7.38,19.6,20.4
323,5.708,11.74,7.38,19.6,18.5
324,6.415,6.12,7.38,19.6,25.0
325,6.431,5.08,7.38,19.6,24.6
326,6.312,6.15,7.38,19.6,23.0
327,6.083,12.79,7.38,19.6,22.2
328,5.868,9.97,3.24,16.9,19.3
329,6.333,7.34,3.24,16.9,22.6
330,6.144,9.09,3.24,16.9,19.8
331,5.706,12.43,6.06,16.9,17.1
332,6.031,7.83,6.06,16.9,19.4
333,6.316,5.68,5.19,20.2,22.2
334,6.31,6.75,5.19,20.2,20.7
335,6.037,8.01,5.19,20.2,21.1
336,5.869,9.8,5.19,20.2,19.5
337,5.895,10.56,5.19,20.2,18.5
338,6.059,8.51,5.19,20.2,20.6
339,5.985,9.74,5.19,20.2,19.0
340,5.968,9.29,5.19,20.2,18.7
341,7.241,5.49,1.52,15.5,32.7
342,6.54,8.65,1.89,15.9,16.5
343,6.696,7.18,3.78,17.6,23.9
344,6.874,4.61,3.78,17.6,31.2
345,6.014,10.53,4.39,18.8,17.5
346,5.898,12.67,4.39,18.8,17.2
347,6.516,6.36,4.15,17.9,23.1
348,6.635,5.99,2.01,17.0,24.5
349,6.939,5.89,1.25,19.7,26.6
350,6.49,5.98,1.25,19.7,22.9
351,6.579,5.49,1.69,18.3,24.1
352,5.884,7.79,1.69,18.3,18.6
353,6.728,4.5,2.02,17.0,30.1
354,5.663,8.05,1.91,22.0,18.2
355,5.936,5.57,1.91,22.0,20.6
356,6.212,17.6,18.1,20.2,17.8
357,6.395,13.27,18.1,20.2,21.7
358,6.127,11.48,18.1,20.2,22.7
359,6.112,12.67,18.1,20.2,22.6
360,6.398,7.79,18.1,20.2,25.0
361,6.251,14.19,18.1,20.2,19.9
362,5.362,10.19,18.1,20.2,20.8
363,5.803,14.64,18.1,20.2,16.8
364,8.78,5.29,18.1,20.2,21.9
365,3.561,7.12,18.1,20.2,27.5
366,4.963,14.0,18.1,20.2,21.9
367,3.863,13.33,18.1,20.2,23.1
368,4.97,3.26,18.1,20.2,50.0
369,6.683,3.73,18.1,20.2,50.0
370,7.016,2.96,18.1,20.2,50.0
371,6.216,9.53,18.1,20.2,50.0
372,5.875,8.88,18.1,20.2,50.0
373,4.906,34.77,18.1,20.2,13.8
374,4.138,37.97,18.1,20.2,13.8
375,7.313,13.44,18.1,20.2,15.0
376,6.649,23.24,18.1,20.2,13.9
377,6.794,21.24,18.1,20.2,13.3
378,6.38,23.69,18.1,20.2,13.1
379,6.223,21.78,18.1,20.2,10.2
380,6.968,17.21,18.1,20.2,10.4
381,6.545,21.08,18.1,20.2,10.9
382,5.536,23.6,18.1,20.2,11.3
383,5.52,24.56,18.1,20.2,12.3
384,4.368,30.63,18.1,20.2,8.8
385,5.277,30.81,18.1,20.2,7.2
386,4.652,28.28,18.1,20.2,10.5
387,5.0,31.99,18.1,20.2,7.4
388,4.88,30.62,18.1,20.2,10.2
389,5.39,20.85,18.1,20.2,11.5
390,5.713,17.11,18.1,20.2,15.1
391,6.051,18.76,18.1,20.2,23.2
392,5.036,25.68,18.1,20.2,9.7
393,6.193,15.17,18.1,20.2,13.8
394,5.887,16.35,18.1,20.2,12.7
395,6.471,17.12,18.1,20.2,13.1
396,6.405,19.37,18.1,20.2,12.5
397,5.747,19.92,18.1,20.2,8.5
398,5.453,30.59,18.1,20.2,5.0
399,5.852,29.97,18.1,20.2,6.3
400,5.987,26.77,18.1,20.2,5.6
401,6.343,20.32,18.1,20.2,7.2
402,6.404,20.31,18.1,20.2,12.1
403,5.349,19.77,18.1,20.2,8.3
404,5.531,27.38,18.1,20.2,8.5
405,5.683,22.98,18.1,20.2,5.0
406,4.138,23.34,18.1,20.2,11.9
407,5.608,12.13,18.1,20.2,27.9
408,5.617,26.4,18.1,20.2,17.2
409,6.852,19.78,18.1,20.2,27.5
410,5.757,10.11,18.1,20.2,15.0
411,6.657,21.22,18.1,20.2,17.2
412,4.628,34.37,18.1,20.2,17.9
413,5.155,20.08,18.1,20.2,16.3
414,4.519,36.98,18.1,20.2,7.0
415,6.434,29.05,18.1,20.2,7.2
416,6.782,25.79,18.1,20.2,7.5
417,5.304,26.64,18.1,20.2,10.4
418,5.957,20.62,18.1,20.2,8.8
419,6.824,22.74,18.1,20.2,8.4
420,6.411,15.02,18.1,20.2,16.7
421,6.006,15.7,18.1,20.2,14.2
422,5.648,14.1,18.1,20.2,20.8
423,6.103,23.29,18.1,20.2,13.4
424,5.565,17.16,18.1,20.2,11.7
425,5.896,24.39,18.1,20.2,8.3
426,5.837,15.69,18.1,20.2,10.2
427,6.202,14.52,18.1,20.2,10.9
428,6.193,21.52,18.1,20.2,11.0
429,6.38,24.08,18.1,20.2,9.5
430,6.348,17.64,18.1,20.2,14.5
431,6.833,19.69,18.1,20.2,14.1
432,6.425,12.03,18.1,20.2,16.1
433,6.436,16.22,18.1,20.2,14.3
434,6.208,15.17,18.1,20.2,11.7
435,6.629,23.27,18.1,20.2,13.4
436,6.461,18.05,18.1,20.2,9.6
437,6.152,26.45,18.1,20.2,8.7
438,5.935,34.02,18.1,20.2,8.4
439,5.627,22.88,18.1,20.2,12.8
440,5.818,22.11,18.1,20.2,10.5
441,6.406,19.52,18.1,20.2,17.1
442,6.219,16.59,18.1,20.2,18.4
443,6.485,18.85,18.1,20.2,15.4
444,5.854,23.79,18.1,20.2,10.8
445,6.459,23.98,18.1,20.2,11.8
446,6.341,17.79,18.1,20.2,14.9
447,6.251,16.44,18.1,20.2,12.6
448,6.185,18.13,18.1,20.2,14.1
449,6.417,19.31,18.1,20.2,13.0
450,6.749,17.44,18.1,20.2,13.4
451,6.655,17.73,18.1,20.2,15.2
452,6.297,17.27,18.1,20.2,16.1
453,7.393,16.74,18.1,20.2,17.8
454,6.728,18.71,18.1,20.2,14.9
455,6.525,18.13,18.1,20.2,14.1
456,5.976,19.01,18.1,20.2,12.7
457,5.936,16.94,18.1,20.2,13.5
458,6.301,16.23,18.1,20.2,14.9
459,6.081,14.7,18.1,20.2,20.0
460,6.701,16.42,18.1,20.2,16.4
461,6.376,14.65,18.1,20.2,17.7
462,6.317,13.99,18.1,20.2,19.5
463,6.513,10.29,18.1,20.2,20.2
464,6.209,13.22,18.1,20.2,21.4
465,5.759,14.13,18.1,20.2,19.9
466,5.952,17.15,18.1,20.2,19.0
467,6.003,21.32,18.1,20.2,19.1
468,5.926,18.13,18.1,20.2,19.1
469,5.713,14.76,18.1,20.2,20.1
470,6.167,16.29,18.1,20.2,19.9
471,6.229,12.87,18.1,20.2,19.6
472,6.437,14.36,18.1,20.2,23.2
473,6.98,11.66,18.1,20.2,29.8
474,5.427,18.14,18.1,20.2,13.8
475,6.162,24.1,18.1,20.2,13.3
476,6.484,18.68,18.1,20.2,16.7
477,5.304,24.91,18.1,20.2,12.0
478,6.185,18.03,18.1,20.2,14.6
479,6.229,13.11,18.1,20.2,21.4
480,6.242,10.74,18.1,20.2,23.0
481,6.75,7.74,18.1,20.2,23.7
482,7.061,7.01,18.1,20.2,25.0
483,5.762,10.42,18.1,20.2,21.8
484,5.871,13.34,18.1,20.2,20.6
485,6.312,10.58,18.1,20.2,21.2
486,6.114,14.98,18.1,20.2,19.1
487,5.905,11.45,18.1,20.2,20.6
488,5.454,18.06,27.74,20.1,15.2
489,5.414,23.97,27.74,20.1,7.0
490,5.093,29.68,27.74,20.1,8.1
491,5.983,18.07,27.74,20.1,13.6
492,5.983,13.35,27.74,20.1,20.1
493,5.707,12.01,9.69,19.2,21.8
494,5.926,13.59,9.69,19.2,24.5
495,5.67,17.6,9.69,19.2,23.1
496,5.39,21.14,9.69,19.2,19.7
497,5.794,14.1,9.69,19.2,18.3
498,6.019,12.92,9.69,19.2,21.2
499,5.569,15.1,9.69,19.2,17.5
500,6.027,14.33,9.69,19.2,16.8
501,6.593,9.67,11.93,21.0,22.4
502,6.12,9.08,11.93,21.0,20.6
503,6.976,5.64,11.93,21.0,23.9
504,6.794,6.48,11.93,21.0,22.0
505,6.03,7.88,11.93,21.0,11.9
